measure_date,form_id,water_usage,fertilizer_usage,heating_energy_usage,CO2_usage,mist_usage_time,yield
2022-10-01,id1,1540.3284,1910.4355,0.0,0.0,1.842,36.82
2022-10-02,id1,115.5246,151.4883,0.0,0.0,0.0,36.82
2022-10-03,id1,564.7871,763.7534,0.0,0.0,0.0,36.82
2022-10-04,id1,770.1642,947.8537,0.0,0.0,0.0,36.82
2022-10-05,id1,1309.2791,1611.6669,3129.8557,0.0,1.0101,36.82
2022-10-06,id1,783.0003,973.1018,0.0,0.0,0.5447,36.82
2022-10-07,id1,1527.4923,1933.5795,4977.1765,0.0,0.2179,36.82
2022-10-08,id1,2156.4597,2651.5708,7206.064,0.0,0.2179,36.82
2022-10-09,id1,718.8199,936.2817,2914.6991,0.0,0.0,36.82
2022-10-10,id1,1553.1644,1977.7636,5296.5495,0.0,0.0,36.82
2022-10-11,id1,2182.1319,2638.9468,3824.0718,0.0,0.2773,36.82
2022-10-12,id1,2156.4597,2563.2026,4788.9145,0.0,0.6932,36.82
2022-10-13,id1,2169.2958,2582.6647,0.0,0.0,1.3072,36.82
2022-10-14,id1,1681.5251,2045.0917,3316.4367,0.0,0.515,36.82
2022-10-15,id1,2169.2958,2616.8547,4324.4789,0.0,1.4458,36.82
2022-10-16,id1,1103.902,1411.2606,0.0,0.0,0.1089,36.82
2022-10-17,id1,2194.9679,2645.7848,4570.3961,0.0,0.0,36.82
2022-10-18,id1,2117.9515,2536.9026,9096.2481,0.0,0.0,36.82
2022-10-19,id1,2194.9679,2627.9008,14359.1793,0.0,0.2575,36.82
2022-10-20,id1,2194.9679,2630.5308,5688.2017,0.0,1.3864,36.82
2022-10-21,id1,1578.8366,1973.5556,3949.6358,0.0,0.3466,36.82
2022-10-22,id1,2015.2629,2441.1704,3951.821,0.0,1.6538,36.82
2022-10-23,id1,1694.3612,2147.6619,0.0,0.0,0.3466,36.82
2022-10-24,id1,2541.5418,3045.0195,8667.952,0.0,0.0495,36.82
2022-10-25,id1,2490.1975,2980.8474,6483.2724,0.0,0.4753,36.82
2022-10-26,id1,1848.394,2175.5399,6853.409,0.0,0.4555,36.82
2022-10-27,id1,1925.4105,2355.4323,6394.5203,0.0,1.3369,36.82
2022-10-28,id1,1232.2627,1195.6002,4343.4732,0.0,0.7823,36.82
2022-10-29,id1,1874.0662,1824.1713,5769.2216,0.0,1.4359,36.82
2022-10-30,id1,1745.7055,1649.013,4115.2055,0.0,1.3171,36.82
2022-10-31,id1,1886.9023,1847.8413,7101.3433,0.0,1.1587,36.82
2022-11-01,id1,1399.1316,1395.4805,2885.6193,0.0,0.1287,36.82
2022-11-02,id1,1861.2301,1789.4552,6688.6797,0.0,0.7328,36.82
2022-11-03,id1,975.5413,988.8818,5961.6859,0.0,0.0,36.82
2022-11-04,id1,1283.607,1220.8482,8183.0093,0.0,0.0,36.82
2022-11-05,id1,1283.607,1245.5703,11396.5743,0.0,0.0,36.82
2022-11-06,id1,1116.7381,1117.752,11967.2435,0.0,0.0,36.82
2022-11-07,id1,693.1478,700.1073,7890.5308,0.0,0.0,36.82
2022-11-08,id1,693.1478,689.5872,6587.8251,0.0,0.3862,36.82
2022-11-09,id1,1578.8366,1532.2408,0.0,0.0,0.0,36.82
2022-11-10,id1,1463.3119,1485.4267,1157.6432,0.0,0.3367,36.82
2022-11-11,id1,1578.8366,1558.5408,7937.5963,0.0,1.119,36.82
2022-11-12,id1,1296.443,1334.4644,3707.2485,0.0,0.3466,36.82
2022-11-13,id1,628.9674,650.6632,4601.4929,0.0,0.0,36.82
2022-11-14,id1,654.6396,663.8132,10119.9227,0.0,0.0,36.82
2022-11-15,id1,1399.1316,1426.5146,6090.7798,0.0,0.0,36.82
2022-11-16,id1,2682.7386,2702.0669,9571.9458,0.0,0.0,36.82
2022-11-17,id1,3080.6567,3192.2998,10595.1161,0.0,0.0,36.82
2022-11-18,id1,3042.1485,3096.0416,10328.3556,0.0,0.0,36.82
2022-11-19,id1,2900.9518,2884.0632,6320.5603,0.0,0.0,36.82
2022-11-20,id1,2079.4433,2135.5639,8728.1286,0.0,0.0,36.82
2022-11-21,id1,2644.2304,2620.5367,9477.3105,0.0,0.0,36.82
2022-11-22,id1,1848.394,2308.6182,2367.5627,0.0,0.0,36.82
2022-11-23,id1,2708.4107,2693.6509,8759.2255,0.0,0.0,36.82
2022-11-24,id1,2669.9025,2711.0089,8834.026,0.0,0.0,36.82
2022-11-25,id1,2426.0172,2431.7024,5019.1992,0.0,0.7724,36.82
2022-11-26,id1,2644.2304,2662.6168,7913.7274,0.0,0.0,36.82
2022-11-27,id1,2888.1157,2836.7231,9455.9629,0.0,0.3169,36.82
2022-11-28,id1,1874.0662,1897.8114,6380.7369,0.0,0.0,36.82
2022-11-29,id1,1835.558,1846.7893,12142.3944,0.0,0.0,36.82
2022-11-30,id1,2631.3943,2584.7687,10859.8595,0.0,0.0,36.82
2022-12-01,id1,2823.9353,2816.2091,12603.8043,0.0,0.0495,36.82
2022-12-02,id1,2117.9515,2096.1138,13094.2941,0.0,0.0495,36.82
2022-12-03,id1,449.2624,456.5688,12538.7531,0.0,0.0,36.82
2022-12-04,id1,1643.0169,1637.967,14604.5923,0.0,0.0,36.82
2022-12-05,id1,2130.7876,2077.7038,17575.0976,0.0,0.1287,36.82
2022-12-06,id1,1501.8202,1483.8487,24373.5408,0.0,0.0,36.82
2022-12-07,id1,1488.9841,1488.0567,23922.2163,0.0,0.0,36.82
2022-12-08,id1,2130.7876,2115.5758,20781.939,0.0,0.8418,36.82
2022-12-09,id1,1668.6891,1661.111,20232.6174,0.0,0.8913,36.82
2022-10-01,id2,1540.3284,1981.9716,0.0,0.0,2.1391,89.295
2022-10-02,id2,308.0657,361.8887,0.0,0.0,0.0,89.295
2022-10-03,id2,834.3445,0.0,0.0,0.0,0.0,89.295
2022-10-04,id2,3298.8699,3149.6937,0.0,0.0,0.0,89.295
2022-10-05,id2,949.8692,582.8091,0.0,0.0,0.9111,89.295
2022-10-06,id2,423.5903,353.9986,5038.5297,0.0,0.5744,89.295
2022-10-07,id2,2284.8204,783.7414,5325.4612,0.0,0.0792,89.295
2022-10-08,id2,1797.0498,832.1335,3121.7873,0.0,0.0891,89.295
2022-10-09,id2,3619.7717,2530.5906,0.0,0.0,0.0,89.295
2022-10-10,id2,1437.6398,2058.2417,11699.1382,0.0,0.0,89.295
2022-10-11,id2,2605.7222,2979.7954,9914.8516,0.0,0.0891,89.295
2022-10-12,id2,2592.8861,1954.0935,3811.4649,0.0,0.406,89.295
2022-10-13,id2,2580.05,2117.6798,0.0,0.0,0.7427,89.295
2022-10-14,id2,1835.558,1181.3981,6218.8652,174.3466,0.4555,89.295
2022-10-15,id2,2759.755,1742.6412,4967.4272,62.2667,1.7726,89.295
2022-10-16,id2,1283.607,785.3194,0.0,0.0,0.1188,89.295
2022-10-17,id2,3183.3453,2156.6039,9399.6524,273.9733,0.9408,89.295
2022-10-18,id2,3144.8371,1568.5348,13140.0148,0.0,0.8517,89.295
2022-10-19,id2,3119.1649,2929.2993,10589.7372,0.0,1.6142,89.295
2022-10-20,id2,2952.296,3835.0729,6192.8111,0.0,2.0499,89.295
2022-10-21,id2,2567.2139,853.1735,3720.6958,0.0,0.7724,89.295
2022-10-22,id2,2862.4436,3075.0016,7175.3034,0.0,1.5251,89.295
2022-10-23,id2,2233.4761,2394.3563,7918.2659,0.0,0.6239,89.295
2022-10-24,id2,2849.6075,3052.3835,9624.8945,0.0,0.1188,89.295
2022-10-25,id2,2849.6075,3041.8635,7900.2801,0.0,0.5348,89.295
2022-10-26,id2,2695.5746,2924.0393,5625.5037,0.0,1.0695,89.295
2022-10-27,id2,2900.9518,3150.2197,8663.4136,0.0,0.7625,89.295
2022-10-28,id2,2554.3779,2740.465,8513.8125,0.0,0.3862,89.295
2022-10-29,id2,3517.0831,3785.6288,4651.0798,0.0,1.2181,89.295
2022-10-30,id2,3042.1485,3240.6919,8669.6329,0.0,1.1587,89.295
2022-10-31,id2,3504.247,3781.4208,7418.6992,0.0,1.0596,89.295
2022-11-01,id2,2580.05,2797.2731,8528.9407,0.0,0.0891,89.295
2022-11-02,id2,3748.1324,4021.8033,5393.538,0.0,1.4855,89.295
2022-11-03,id2,1886.9023,2039.8317,6731.5429,0.0,0.0,89.295
2022-11-04,id2,3658.2799,3967.6252,7907.0038,0.0,0.0,89.295
2022-11-05,id2,3658.2799,3917.6551,7195.9786,0.0,0.0792,89.295
2022-11-06,id2,2926.6239,3138.1217,8120.8156,0.0,0.0,89.295
2022-11-07,id2,2926.6239,3148.1157,6310.1386,0.0,0.0,89.295
2022-11-08,id2,2926.6239,3138.1217,10974.1615,0.0,0.6041,89.295
2022-11-09,id2,3170.5092,3387.9721,543.7746,0.0,0.0,89.295
2022-11-10,id2,2682.7386,2898.2652,0.0,0.0,0.4753,89.295
2022-11-11,id2,3170.5092,3427.9482,3887.1059,0.0,1.0002,89.295
2022-11-12,id2,1951.0826,2098.7438,9483.698,0.0,0.2773,89.295
2022-11-13,id2,975.5413,1059.3659,10231.7032,0.0,0.0,89.295
2022-11-14,id2,1707.1973,1848.8933,16298.446,0.0,0.0,89.295
2022-11-15,id2,1707.1973,1878.8754,6425.6172,0.0,0.0,89.295
2022-11-16,id2,3170.5092,3417.9542,7485.0952,0.0,0.0,89.295
2022-11-17,id2,3170.5092,3397.9661,8464.2256,0.0,0.0099,89.295
2022-11-18,id2,3414.3945,3697.7867,2779.722,0.0,0.4654,89.295
2022-11-19,id2,3247.5256,3491.0683,3963.9235,0.0,0.3961,89.295
2022-11-20,id2,2490.1975,2665.2468,9981.2475,0.0,0.5348,89.295
2022-11-21,id2,3003.6403,3231.2238,21219.8162,0.0,0.3268,89.295
2022-11-22,id2,1758.5416,1924.6375,853.3983,0.0,0.0,89.295
2022-11-23,id2,2977.9682,2856.7112,2387.7336,0.0,0.0099,89.295
2022-11-24,id2,2977.9682,2877.7512,4564.8491,0.0,0.0,89.295
2022-11-25,id2,2734.0829,2606.8607,3805.5817,12.4533,0.0297,89.295
2022-11-26,id2,3247.5256,3101.8276,3653.4593,0.0,0.0,89.295
2022-11-27,id2,3491.411,3331.69,3267.1861,0.0,0.0891,89.295
2022-11-28,id2,1270.7709,1207.6982,3057.0722,0.0,0.0,89.295
2022-11-29,id2,1245.0988,1205.5942,15082.8114,24.9067,0.0,89.295
2022-11-30,id2,3273.1978,3126.0237,26830.696,12.4533,0.0495,89.295
2022-12-01,id2,3517.0831,3356.9381,28610.2761,0.0,0.0693,89.295
2022-12-02,id2,3273.1978,3156.0057,16748.93,74.72,0.0198,89.295
2022-12-03,id2,1001.2134,964.6857,26003.1837,0.0,0.0,89.295
2022-12-04,id2,2002.4269,1939.3655,41646.2426,12.4533,0.0,89.295
2022-12-05,id2,3247.5256,3193.8778,29034.3699,12.4533,0.0,89.295
2022-12-06,id2,1001.2134,1066.7299,37423.795,0.0,0.0,89.295
2022-12-07,id2,1809.8858,1779.9872,34550.6144,0.0,0.0,89.295
2022-12-08,id2,2785.4271,2770.447,32099.0062,0.0,0.4952,89.295
2022-12-09,id2,2271.9843,2244.4461,34125.0078,0.0,0.0,89.295
2022-10-01,id3,1617.3448,2258.1221,0.0,0.0,2.0994,62.906
2022-10-02,id3,102.6886,164.1123,0.0,0.0,0.0,62.906
2022-10-03,id3,577.6231,970.4718,0.0,124.5333,0.0,62.906
2022-10-04,id3,924.197,1325.5224,0.0,1743.4663,0.0099,62.906
2022-10-05,id3,1334.9513,1736.8551,1438.8595,797.0132,1.0992,62.906
2022-10-06,id3,783.0003,1076.1979,622.7774,0.0,2.5748,62.906
2022-10-07,id3,1476.148,1614.8229,10797.3297,49.8133,3.1789,62.906
2022-10-08,id3,2182.1319,2049.8257,2855.3629,87.1733,1.4557,62.906
2022-10-09,id3,744.492,684.8532,8519.1914,1457.0397,1.5944,62.906
2022-10-10,id3,1604.5087,1446.5026,14448.2676,1108.3464,3.674,62.906
2022-10-11,id3,2194.9679,1352.3484,8040.1319,348.6933,1.1785,62.906
2022-10-12,id3,2207.804,1152.4681,5027.94,249.0666,2.0103,62.906
2022-10-13,id3,2207.804,1198.7562,0.0,0.0,1.5647,62.906
2022-10-14,id3,1694.3612,1410.2085,4454.7494,62.2667,0.9507,62.906
2022-10-15,id3,2169.2958,1904.6494,3852.143,348.6933,2.8719,62.906
2022-10-16,id3,1116.7381,967.8417,0.0,24.9067,1.0596,62.906
2022-10-17,id3,2220.6401,1915.1695,5209.4783,448.3199,5.2783,62.906
2022-10-18,id3,2220.6401,2127.6738,13954.9203,0.0,5.5457,62.906
2022-10-19,id3,2233.4761,2224.984,12840.8127,0.0,5.5952,62.906
2022-10-20,id3,2194.9679,2264.4341,6519.412,0.0,4.9812,62.906
2022-10-21,id3,1604.5087,1733.6991,4337.59,0.0,1.3171,62.906
2022-10-22,id3,2066.6072,2379.1023,2575.4913,0.0,4.6643,62.906
2022-10-23,id3,1668.6891,1949.3595,8061.9837,0.0,5.615,62.906
2022-10-24,id3,2015.2629,2305.4622,8754.5189,0.0,2.8026,62.906
2022-10-25,id3,2053.7712,2459.5804,8946.1427,0.0,2.04,62.906
2022-10-26,id3,1938.2465,2268.6421,5043.9086,0.0,6.9619,62.906
2022-10-27,id3,1951.0826,2266.0121,9526.5612,0.0,2.7927,62.906
2022-10-28,id3,1245.0988,1694.2491,9786.5981,0.0,1.3963,62.906
2022-10-29,id3,1925.4105,2199.736,8056.1005,0.0,4.803,62.906
2022-10-30,id3,1784.2137,2279.6881,5888.5662,0.0,5.1199,62.906
2022-10-31,id3,1951.0826,2363.8483,2365.8818,0.0,3.8028,62.906
2022-11-01,id3,1450.4759,1878.8754,6533.6998,0.0,2.4659,62.906
2022-11-02,id3,1938.2465,2334.3922,8969.3393,0.0,4.803,62.906
2022-11-03,id3,1245.0988,1684.255,10126.6463,0.0,2.3668,62.906
2022-11-04,id3,1951.0826,2458.5284,11865.5484,0.0,2.8026,62.906
2022-11-05,id3,1951.0826,2273.3761,11356.2324,0.0,2.3173,62.906
2022-11-06,id3,1784.2137,2332.2882,13922.983,0.0,5.5754,62.906
2022-11-07,id3,1450.4759,1787.3512,11796.9672,0.0,6.5459,62.906
2022-11-08,id3,1450.4759,1942.5215,6128.096,0.0,1.4855,62.906
2022-11-09,id3,1784.2137,2049.2997,1930.8621,0.0,2.4064,62.906
2022-11-10,id3,1617.3448,2161.3379,1943.9732,0.0,2.6441,62.906
2022-11-11,id3,1784.2137,2127.1478,4488.8719,0.0,5.3377,62.906
2022-11-12,id3,1411.9677,1798.3973,2790.3117,0.0,6.3677,62.906
2022-11-13,id3,770.1642,1040.9559,7883.471,0.0,4.1989,62.906
2022-11-14,id3,770.1642,1006.7658,10934.6601,0.0,5.4071,62.906
2022-11-15,id3,1116.7381,1595.8869,3670.2684,0.0,5.0407,62.906
2022-11-16,id3,1707.1973,2344.9122,2529.7705,0.0,6.1201,62.906
2022-11-17,id3,2092.2794,2519.0186,5801.1589,0.0,2.2579,62.906
2022-11-18,id3,2092.2794,2373.8423,2746.608,0.0,6.2983,62.906
2022-11-19,id3,2079.4433,2279.1621,6094.9821,0.0,6.9024,62.906
2022-11-20,id3,1322.1152,1499.1027,8014.0778,0.0,3.9216,62.906
2022-11-21,id3,1899.7383,2077.1778,3632.7841,0.0,2.3668,62.906
2022-11-22,id3,1206.5906,1270.8183,2591.46,0.0,1.9806,62.906
2022-11-23,id3,1822.7219,1873.6154,984.5094,0.0,2.3272,62.906
2022-11-24,id3,1540.3284,1719.4971,3290.3826,0.0,2.1292,62.906
2022-11-25,id3,1797.0498,1765.2592,2628.44,24.9067,2.5055,62.906
2022-11-26,id3,1809.8858,1783.1432,5261.2504,0.0,1.8717,62.906
