measure_date,form_id,water_usage,fertilizer_usage,heating_energy_usage,CO2_usage,mist_usage_time
2022-10-01,id1,1200,3632,0,0,186
2022-10-02,id1,90,288,0,0,0
2022-10-03,id1,440,1452,0,0,0
2022-10-04,id1,600,1802,0,0,0
2022-10-05,id1,1020,3064,18620,0,102
2022-10-06,id1,610,1850,0,0,55
2022-10-07,id1,1190,3676,29610,0,22
2022-10-08,id1,1680,5041,42870,0,22
2022-10-09,id1,560,1780,17340,0,0
2022-10-10,id1,1210,3760,31510,0,0
2022-10-11,id1,1700,5017,22750,0,28
2022-10-12,id1,1680,4873,28490,0,70
2022-10-13,id1,1690,4910,0,0,132
2022-10-14,id1,1310,3888,19730,0,52
2022-10-15,id1,1690,4975,25727,0,146
2022-10-16,id1,860,2683,0,0,11
2022-10-17,id1,1710,5030,27190,0,0
2022-10-18,id1,1650,4823,54115,0,0
2022-10-19,id1,1710,4996,85425,0,26
2022-10-20,id1,1710,5001,33840,0,140
2022-10-21,id1,1230,3752,23497,0,35
2022-10-22,id1,1570,4641,23510,0,167
2022-10-23,id1,1320,4083,0,0,35
2022-10-24,id1,1980,5789,51567,0,5
2022-10-25,id1,1940,5667,38570,0,48
2022-10-26,id1,1440,4136,40772,0,46
2022-10-27,id1,1500,4478,38042,0,135
2022-10-28,id1,960,2273,25840,0,79
2022-10-29,id1,1460,3468,34322,0,145
2022-10-30,id1,1360,3135,24482,0,133
2022-10-31,id1,1470,3513,42247,0,117
2022-11-01,id1,1090,2653,17167,0,13
2022-11-02,id1,1450,3402,39792,0,74
2022-11-03,id1,760,1880,35467,0,0
2022-11-04,id1,1000,2321,48682,0,0
2022-11-05,id1,1000,2368,67800,0,0
2022-11-06,id1,870,2125,71195,0,0
2022-11-07,id1,540,1331,46942,0,0
2022-11-08,id1,540,1311,39192,0,39
2022-11-09,id1,1230,2913,0,0,0
2022-11-10,id1,1140,2824,6887,0,34
2022-11-11,id1,1230,2963,47222,0,113
2022-11-12,id1,1010,2537,22055,0,35
2022-11-13,id1,490,1237,27375,0,0
2022-11-14,id1,510,1262,60205,0,0
2022-11-15,id1,1090,2712,36235,0,0
2022-11-16,id1,2090,5137,56945,0,0
2022-11-17,id1,2400,6069,63032,0,0
2022-11-18,id1,2370,5886,61445,0,0
2022-11-19,id1,2260,5483,37602,0,0
2022-11-20,id1,1620,4060,51925,0,0
2022-11-21,id1,2060,4982,56382,0,0
2022-11-22,id1,1440,4389,14085,0,0
2022-11-23,id1,2110,5121,52110,0,0
2022-11-24,id1,2080,5154,52555,0,0
2022-11-25,id1,1890,4623,29860,0,78
